John Renken || depth =1 || parent is : Nick Thompson (fighter)
Ricky Seleuce || depth =1 || parent is : Nick Thompson (fighter)
Thiago Goncalves || depth =1 || parent is : Nick Thompson (fighter)
Brian Moore || depth =1 || parent is : Nick Thompson (fighter)
Jeff Doyle || depth =1 || parent is : Nick Thompson (fighter)
Emyr Bussade || depth =1 || parent is : Nick Thompson (fighter)
Kyle Helsper || depth =1 || parent is : Nick Thompson (fighter)
Micah Terrill || depth =1 || parent is : Lyman Good
Matt Secor || depth =1 || parent is : Lyman Good
LeVon Maynard || depth =1 || parent is : Lyman Good
Alexis Aquino || depth =1 || parent is : Lyman Good
Doug Gordon || depth =1 || parent is : Lyman Good
Erik Charles || depth =1 || parent is : Lyman Good
Julio Cruz || depth =1 || parent is : Lyman Good
John Zecchino || depth =1 || parent is : Lyman Good
Adam Fearon || depth =1 || parent is : Lyman Good
Jacon Luock || depth =1 || parent is : Dan Hornbuckle
Joe Alexander || depth =1 || parent is : Dan Hornbuckle
Nabil Khatib || depth =1 || parent is : Dan Hornbuckle
Andrew Buckland || depth =1 || parent is : Dan Hornbuckle
Courtney Ray || depth =1 || parent is : Dan Hornbuckle
Piotr Jakaczynski || depth =1 || parent is : Dan Hornbuckle
Matt Shaw || depth =1 || parent is : Dan Hornbuckle
Jamie Toney || depth =1 || parent is : Dan Hornbuckle
Wayne Bogard || depth =1 || parent is : Dan Hornbuckle
Max Fowler || depth =1 || parent is : Dan Hornbuckle
Andy Normington || depth =1 || parent is : Dan Hornbuckle
Steve Conley || depth =1 || parent is : Dan Hornbuckle
Mike Bodziak || depth =1 || parent is : Dan Hornbuckle
Roger Carroll || depth =1 || parent is : Ryan Thomas (fighter)
William Hill || depth =1 || parent is : Ryan Thomas (fighter)
Joshua Thorpe || depth =1 || parent is : Ryan Thomas (fighter)
Rocky France || depth =1 || parent is : Ryan Thomas (fighter)
Evilasio Silva Araujo || depth =1 || parent is : Ryan Thomas (fighter)
Daniel Head || depth =1 || parent is : Ryan Thomas (fighter)
Yasunori Kanehara || depth =2 || parent is : Donald Cerrone
Jesse Brock || depth =2 || parent is : Donald Cerrone
Craig Tennant || depth =2 || parent is : Donald Cerrone
Cruz Chacon || depth =2 || parent is : Donald Cerrone
Tatsunori Tanaka || depth =2 || parent is : Carlos Condit
Koji Oishi || depth =2 || parent is : Carlos Condit
Ross Ebañez || depth =2 || parent is : Carlos Condit
Chilo Gonzalez || depth =2 || parent is : Carlos Condit
Masaki Tuchhi || depth =2 || parent is : Carlos Condit
Randy Hauer || depth =2 || parent is : Carlos Condit
Will Bradford || depth =2 || parent is : Carlos Condit
Jarvis Brennaman || depth =2 || parent is : Carlos Condit
Brad Gumm || depth =2 || parent is : Carlos Condit
David Lindemeyer || depth =2 || parent is : Carlos Condit
Tyrell McElroy || depth =2 || parent is : Carlos Condit
Anthony Zamora || depth =2 || parent is : Carlos Condit
Tommy Gouge || depth =2 || parent is : Carlos Condit
Nick Roscorla || depth =2 || parent is : Carlos Condit
Nick Hinchliffe || depth =2 || parent is : Rory MacDonald (fighter)
Elmer Waterhen || depth =2 || parent is : Rory MacDonald (fighter)
Yoon Heo || depth =2 || parent is : Rory MacDonald (fighter)
Quinton Moreno || depth =2 || parent is : Rory MacDonald (fighter)
Ken Tran || depth =2 || parent is : Rory MacDonald (fighter)
Terry Thiara || depth =2 || parent is : Rory MacDonald (fighter)
Justin Haskins || depth =2 || parent is : Johny Hendricks
Richard Gamble || depth =2 || parent is : Johny Hendricks
Spencer Cowley || depth =2 || parent is : Johny Hendricks
Victor Rackliff || depth =2 || parent is : Johny Hendricks
Dan Kolbasowski || depth =2 || parent is : Matt Brown (fighter)
Jason Nickoson || depth =2 || parent is : Matt Brown (fighter)
Brian King || depth =2 || parent is : Matt Brown (fighter)
Joey Whitt || depth =2 || parent is : Matt Brown (fighter)
Ricardo Martinez || depth =2 || parent is : Matt Brown (fighter)
Marcelo Alfaya || depth =2 || parent is : Jake Ellenberger
Brendan Seguin || depth =2 || parent is : Jake Ellenberger
Doo Won Seo || depth =2 || parent is : Jake Ellenberger
Farouk Lakebir || depth =2 || parent is : Jake Ellenberger
Jose Landi-Jons || depth =2 || parent is : Jake Ellenberger
Ben Uker || depth =2 || parent is : Jake Ellenberger
Ryan Stout || depth =2 || parent is : Jake Ellenberger
Kenneth Allen || depth =2 || parent is : Jake Ellenberger
Mark Bear || depth =2 || parent is : Jake Ellenberger
Brian Daley || depth =2 || parent is : Jake Ellenberger
Evan Boemer || depth =2 || parent is : Jake Ellenberger
Brent Shepard || depth =2 || parent is : Jake Ellenberger
Deryck Ripley || depth =2 || parent is : Jake Ellenberger
Brad Fox || depth =2 || parent is : Jake Ellenberger
Cory Simpson || depth =2 || parent is : Jake Ellenberger
Cameron Wells || depth =2 || parent is : Jake Ellenberger
Cameron VanCamp || depth =2 || parent is : Bobby Voelker
Darrius Flowers || depth =2 || parent is : Bobby Voelker
Justin DeMoney || depth =2 || parent is : Bobby Voelker
Bobby Emmons || depth =2 || parent is : Bobby Voelker
Kyle Kurtz || depth =2 || parent is : Bobby Voelker
Raymond Gray || depth =2 || parent is : Bobby Voelker
Mike Estus || depth =2 || parent is : Bobby Voelker
Justin Gutherie || depth =2 || parent is : Bobby Voelker
Cedric Marks || depth =2 || parent is : Bobby Voelker
Thomas Aaron || depth =2 || parent is : Bobby Voelker
Dominic Brown || depth =2 || parent is : Bobby Voelker
CJ Fernandes || depth =2 || parent is : Bobby Voelker
Ryan Braun || depth =2 || parent is : Bobby Voelker
Nathan Looker || depth =2 || parent is : Bobby Voelker
Danny Anderson || depth =2 || parent is : Bobby Voelker
Warren Walker || depth =2 || parent is : Bobby Voelker
Ken Jackson || depth =2 || parent is : Bobby Voelker
Ted Worthington || depth =2 || parent is : Bobby Voelker
Jody Lithicum || depth =2 || parent is : Bobby Voelker
Clayton Marrs || depth =2 || parent is : Bobby Voelker
Jack Hodge || depth =2 || parent is : Bobby Voelker
Johnathan Richmond || depth =2 || parent is : Bobby Voelker
